City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Lucea,JM,2021-05-27 21:17:35,18.451,-78.1736,85.86,80,24,14.9
234,Monteiro,BR,2021-05-27 21:17:35,-7.8894,-37.12,74.86,59,96,12.53
235,Poum,NC,2021-05-27 21:17:36,-20.2333,164.0167,71.55,71,97,7.05
236,Muhos,FI,2021-05-27 21:17:36,64.808,25.9931,38.98,88,79,2.82
237,Leshukonskoye,RU,2021-05-27 21:17:36,64.8989,45.7622,37.27,95,100,3.98
238,Kaniama,CD,2021-05-27 21:17:36,-7.5667,24.1833,67.48,54,77,4.18
239,San Lawrenz,MT,2021-05-27 21:17:37,36.0553,14.204,69.21,76,78,5.61
240,Berlevag,NO,2021-05-27 21:17:37,70.8578,29.0864,37.2,77,95,24.61
241,Palu,ID,2021-05-27 21:17:37,-0.8917,119.8707,75.6,96,26,3.42
242,Yanam,IN,2021-05-27 21:17:38,16.7333,82.2167,84.7,55,32,4.32
243,Guerrero Negro,MX,2021-05-27 21:09:49,27.9769,-114.0611,69.28,55,0,21.14
244,Lakes Entrance,AU,2021-05-27 21:10:22,-37.8811,147.981,48.58,57,100,18.57
245,Namibe,AO,2021-05-27 21:17:38,-15.1961,12.1522,73.53,73,0,5.32
246,Souillac,MU,2021-05-27 21:13:33,-20.5167,57.5167,72.36,86,90,6.85
247,Lampa,CL,2021-05-27 21:17:38,-33.2833,-70.9,68.99,34,0,3.27
248,Bacolod,PH,2021-05-27 21:07:45,10.6667,122.95,79.59,82,99,1.86
249,Mecca,SA,2021-05-27 21:07:27,21.4267,39.8261,86.22,44,50,1.86
250,Strezhevoy,RU,2021-05-27 21:17:39,60.7333,77.5889,39.18,84,19,8.86
251,Tondano,ID,2021-05-27 21:17:39,1.3038,124.9112,68.09,95,27,2.66
252,Castro,BR,2021-05-27 21:05:19,-24.7911,-50.0119,62.56,81,58,3.42
253,Cidreira,BR,2021-05-27 21:09:25,-30.1811,-50.2056,63.52,67,0,2.86
254,Coos Bay,US,2021-05-27 21:17:39,43.3665,-124.2179,61.05,73,75,14.97
255,Karlskrona,SE,2021-05-27 21:17:40,56.1616,15.5866,50.45,93,98,5.1
256,Ossora,RU,2021-05-27 21:17:40,59.2353,163.0719,36.37,94,100,5.37
257,Khor,RU,2021-05-27 21:17:40,47.8861,134.9464,50.02,82,100,4.59
258,Amahai,ID,2021-05-27 21:17:41,-3.3333,128.9167,76.69,86,23,3.06
259,San Bartolome,ES,2021-05-27 21:17:41,27.9248,-15.5733,57.67,71,20,10.96
260,Chimoio,MZ,2021-05-27 21:17:41,-19.1164,33.4833,57.06,77,0,4.61
261,Alghero,IT,2021-05-27 21:17:41,40.5589,8.3181,59.09,82,0,1.14
262,Vyartsilya,RU,2021-05-27 21:17:42,62.1764,30.693,45.57,92,40,3.4
263,Fairbanks,US,2021-05-27 21:13:28,64.8378,-147.7164,60.76,42,40,8.05
264,Benguela,AO,2021-05-27 21:17:42,-12.5763,13.4055,75.9,75,0,5.64
265,Vila,PT,2021-05-27 21:17:42,42.0304,-8.1588,60.75,82,100,2.26
266,Sambava,MG,2021-05-27 21:17:43,-14.2667,50.1667,71.31,86,2,8.43
267,Progreso,MX,2021-05-27 21:09:21,21.2833,-89.6667,97.11,69,21,16.15
268,Jalu,LY,2021-05-27 21:17:43,29.0331,21.5482,82.26,24,21,11.68
269,Lakselv,NO,2021-05-27 21:17:44,70.0513,24.9718,40.82,70,90,11.5
270,Eydhafushi,MV,2021-05-27 21:17:44,5.1033,73.0708,82.24,78,100,22.03
271,Hambantota,LK,2021-05-27 21:09:58,6.1241,81.1185,80.37,81,99,22.95
272,Novoagansk,RU,2021-05-27 21:17:44,61.9449,76.6625,33.12,76,20,9.98
273,Barcelos,PT,2021-05-27 21:17:45,41.5388,-8.6151,64.92,84,100,4.68
274,Fortuna,US,2021-05-27 21:14:32,40.5982,-124.1573,73.47,66,75,5.01
275,Udachnyy,RU,2021-05-27 21:17:45,66.4167,112.4,47.57,80,98,6.62
276,Paka,MY,2021-05-27 21:17:45,4.6374,103.4368,75.13,100,100,2.3
277,Aracati,BR,2021-05-27 21:17:45,-4.5617,-37.7697,80.19,77,32,9.55
278,Cordele,US,2021-05-27 21:17:46,31.9635,-83.7824,93.45,29,0,10.25
279,Leningradskiy,RU,2021-05-27 21:17:46,69.3833,178.4167,31.87,97,68,11.34
280,Egvekinot,RU,2021-05-27 21:17:46,66.3167,-179.1667,34.47,72,100,7.63
281,Haines Junction,CA,2021-05-27 21:09:47,60.7522,-137.5108,51.71,57,100,7.31
282,Kemise,ET,2021-05-27 21:17:47,10.7167,39.8667,72.84,39,30,4.36
283,Ko Samui,TH,2021-05-27 21:17:47,9.5357,99.9357,82.81,77,100,17.49
284,Auki,SB,2021-05-27 21:17:47,-8.7676,160.7034,76.41,86,100,3.13
285,Turayf,SA,2021-05-27 21:17:47,31.6725,38.6637,75.45,23,0,11.5
286,Angola,AO,2021-05-27 21:17:48,-12.5,18.5,54.52,49,0,3.74
287,Puerto Escondido,MX,2021-05-27 21:17:48,15.85,-97.0667,87.85,58,100,7.94
288,Camacha,PT,2021-05-27 21:17:48,33.0833,-16.3333,63.36,72,40,10.36
289,Honningsvag,NO,2021-05-27 21:10:23,70.9821,25.9704,38.43,72,100,24.72
290,Okhotsk,RU,2021-05-27 21:17:49,59.3833,143.3,40.5,75,100,4.03
291,Chapais,CA,2021-05-27 21:07:59,49.7834,-74.8492,35.38,43,100,14.56
292,Roebourne,AU,2021-05-27 21:17:49,-20.7833,117.1333,73.87,69,48,7.99
293,Neuquen,AR,2021-05-27 21:10:42,-38.9516,-68.0591,62.49,39,0,12.66
294,Paamiut,GL,2021-05-27 21:09:27,61.994,-49.6678,37.58,86,3,8.61
